Roll,Balanced Yards,Balanced Time,Run-First Yards,Run-First Time,Pass-First Yards,Pass-First Time
0,0,4,0,9,0,2
1,3,5,1,9,5,3
2,5,6,2,9,7,4
3,6,6,3,9,9,4
4,7,7,4,9,12,5
5,9,8,6,9,15,6
6,12,9,8,10,18,7
7,15,10,10,11,22,8
8,18,11,12,12,28,9
9,25,14,15,15,35,12
10,32,17,18,18,42,15
11,38,19,22,20,50,17
12,45,22,26,23,60,20
13,55,26,30,27,70,24
14,68,31,34,32,80,29
15,85,38,38,39,95,36
16,TD,1-20,42,21,TD,1-20
17,TD,1-20,48,23,TD,1-20
18,TD,1-20,55,26,TD,1-20
19,TD,1-20,TD,1-20,TD,1-20
